,birthday,blood_type,bust,cup,height,hip,name,waist
0,,,,,,,Ai,
1,1984-07-23,O,110,I,172,90,愛あいり,61
2,,,,,,,藍色りりか,
3,1987-12-15,,92,E,152,88,愛内あみ,59
4,1990-11-06,B,85,D,161,88,相内しおり,58
5,,,100,H,162,93,相内つかさ,64
6,1992-07-03,O,80,C,162,83,愛内希,57
7,,,,,,,愛内まほ,
8,1981-12-01,A,86,,165,82,愛内萌,56
9,,,85,I,160,86,愛内ゆう,57
10,,,,,,,愛内ゆず,
11,1987-12-11,O,96,H,156,87,相内リカ,61
12,1988-03-27,AB,85,E,164,85,愛内梨花,60
13,1982-08-08,O,83,,154,85,愛内るい,60
14,,,,,,,愛香,
15,,,,,,,AIKA,
16,,,,,,,愛果,
17,1985-05-28,O,87,D,155,87,藍花（花桐まつり）,60
18,1975-11-02,O,81,B,155,79,AIKA（三浦あいか）,54
19,1989-12-18,,80,D,155,85,愛花沙也,59
20,1984-12-08,AB,87,G,162,86,あいか瞬,59
21,,,88,F,166,86,愛香まゆ,59
22,,,,,,,愛華みれい,
23,,,,,,,あいか莉乃,
24,1993-11-03,,80,,158,82,あいかりん,60
25,1976-09-27,,86,C,168,85,愛川香織,60
26,1984-04-19,O,86,D,170,86,愛川紗季,58
27,1970-07-17,,88,D,162,90,愛川咲樹,63
28,,,88,,,80,愛川さち,58
29,1996-02-23,,85,F,,83,相川潤,57
30,,,87,,,88,相川純菜,60
31,,,93,,163,87,愛川セイラ,60
32,,,,,,,愛川智佐,
33,,,80,D,155,85,藍川なぎさ,63
34,1984-07-15,B,86,E,168,90,相川奈々,60
35,,,,,,,愛川ななみ,
36,,,,,,,愛川はる,
37,,,,,,,愛川ひかる,
38,,,83,,,85,愛川ひな,57
39,,,93,G,,88,相川まなみ,60
40,,,,,,,相川真由,
41,1988-12-24,O,94,H,162,86,愛川みう,58
42,,,,,,,藍川美夏,
43,1979-01-23,A,80,,,85,相川未稀,62
44,,,84,D,154,88,愛川未来,57
45,1985-02-22,O,95,F,164,89,相川みなみ,58
46,,,,,,,相川みほ,
47,,,,,,,愛川めい,
48,1982-01-07,A,87,D,160,88,愛川由衣,59
49,1989-03-08,,86,C,158,87,あいかわ優衣,60
50,1984-09-25,A,84,,,83,相川優菜,59
51,,,102.5,,,,愛川ゆき,
52,,,,D,156,80,あいかわゆら,58
53,1985-06-10,O,85,D,,88,相川リナ,59
54,1992-05-14,,90,F,168,90,哀川りん,58
55,1994-09-06,,86,,160,86,愛来ゆう,59
56,1993-08-13,O,83,D,163,85,逢坂はるな,57
57,,,,,,,愛咲えな,
58,,,,,,,愛咲エリカ,
59,1975-03-03,A,85,D,,86,逢崎みゆ,58
60,1976-06-11,B,86,D,,84,愛咲めぐ,60
61,,,109,J,164,90,逢咲ゆあ,63
62,1980-05-21,AB,90,,,90,愛咲ゆい,60
63,1984-05-22,O,85,C,168,88,愛咲れいら（原千尋）,59
64,,,,,,,相崎真希（美空おんぷ）,
65,1989-07-19,AB,80,B,152,82,愛咲MIU（桜井りあ）,56
66,,,,,,,相澤あかり,
67,,,86,F,164,85,愛沢有紗,56
68,,,,,,,相沢いずみ,
69,,,90,G,151,88,相沢夏帆,57
70,1993-12-26,AB,84,D,157,85,愛沢かりん,57
71,,,,,,,相澤京香,
72,,,,,,,相沢さつき,
73,1980-01-01,,,,,,相沢さゆり,
74,,,,,,,相沢しいら,
75,1994-11-17,A,84,D,154,83,藍沢潤,59
76,,,,,,,相沢一愛,
77,1993-07-21,,87,C,160,88,逢沢つばさ,57
78,,B,107,I,158,,逢沢なお（青山れあ）,
79,,,91,F,161,88,相沢奈菜,60
80,,,,,,,逢沢七帆,
81,,,,,,,愛沢寧々,
82,1972-06-10,O,95,G,166,93,逢沢はるか（黒木琴音）,60
83,1984-10-28,O,86,C,158,80,愛沢ひな,56
84,,,95,H,,,逢沢ふみ奈,
85,,,,,,,相澤麻衣,
86,,,83,,,84,藍沢舞音,59
87,1980-04-28,O,84,,,85,相澤まほ,57
88,1978-01-04,A,86,C,162,88,相沢まみ,58
89,,,,,,,愛沢美奈,
90,1996-06-14,A,80,C,,82,相沢みなみ,54
91,1988-03-25,O,92,G,145,88,相沢桃,59
92,,,,,,,相沢優,
93,,,103,H,,,相沢ゆう,
94,1980-06-19,O,88,F,158,85,相沢優香,59
95,1984-05-03,AB,85,,147,88,相沢夢,60
96,1995-06-11,B,87,,148,83,相澤ゆりな,58
97,,,97,H,164,95,逢沢りいな,60
98,1990-03-24,A,88,G,152,82,相澤リナ,56
99,,,,,,,逢沢るる,
100,1981-11-26,A,80,B,,82,相澤玲,58
101,,,,,,,相沢玲奈,
102,,,,,,,相沢れおな,
103,1986-05-12,O,86,D,163,84,愛沢蓮,55
104,,,83,,168,84,相沢恋,58
105,1986-08-06,A,83,,155,81,愛嶋リーナ,53
106,,,,,,,愛代さやか,
107,1998-12-08,,,,,,相島奈央,
108,,,98,I,154,90,愛樹るい,65
109,1995-03-15,,82,E,143,88,愛須心亜,62
110,1994-01-19,A,80,B,152,85,逢栖れもん,60
111,1975-04-19,A,86,D,168,84,愛澄玲花,60
112,1996-11-11,O,80,D,151,85,愛瀬美希,56
113,,,85,D,163,83,あいせ里莉子,60
114,1957-02-09,B,85,D,161,88,愛染恭子（青山涼子）,60
115,,,88,G,160,85,あいだ飛鳥,55
116,1991-04-18,B,83,C,162,85,あいださくら,58
117,1988-03-05,,88,,163,87,相田紗耶香,58
118,1985-04-08,B,92,H,152,90,相田すみれ,59
119,,,83,E,166,89,愛田奈々,60
120,,,,,,,相田ななこ,
121,,,95,E,158,90,相田紀子,65
122,,,,,,,愛田瞳,
123,,,,I,158,108,愛田正子,75
124,,,,,,,愛田ミナ,
125,,,,,,,逢田みなみ,
126,,,,,,,愛田みみ,
127,1970-06-18,A,82,,162,89,あいだもも,55
128,1984-08-12,O,88,E,157,87,あいだゆあ,57
129,,,,,,,相田結衣,
130,,,103,F,169,95,逢田有希,69
131,1978-06-16,,93,,150,91,相田由美,57
132,,,,,,,相田ゆりあ,
133,1971-09-04,A,88,D,163,90,愛田るか,60
134,1981-03-04,AB,93,,155,78,相田るる,58
135,,,,,,,逢月はるな,
